江西电信频道,#genre#
#3840x2160  南昌青山湖2、景德镇2、宜春、九江、鹰潭、赣州、吉安
CCTV4K 超高清,http://115.153.212.72/PLTV/88888888/224/3221227073/106537394.smil/index.m3u8?fmt=ts2hls
CCTV4K 超高清,http://115.153.222.112/PLTV/88888888/224/3221227073/106537394.smil/index.m3u8?fmt=ts2hls
CCTV4K 超高清,http://115.153.230.145/PLTV/88888888/224/3221227073/106537394.smil/index.m3u8?fmt=ts2hls
CCTV4K 超高清,http://115.153.233.154/PLTV/88888888/224/3221227073/106537394.smil/index.m3u8?fmt=ts2hls
CCTV4K 超高清,http://115.153.240.228/PLTV/88888888/224/3221227073/106537394.smil/index.m3u8?fmt=ts2hls
CCTV4K 超高清,http://115.153.245.70/PLTV/88888888/224/3221227073/106537394.smil/index.m3u8?fmt=ts2hls
CCTV4K 超高清,http://115.153.247.80/PLTV/88888888/224/3221227073/106537394.smil/index.m3u8?fmt=ts2hls
CCTV4K 超高清,http://115.153.254.81/PLTV/88888888/224/3221227073/106537394.smil/index.m3u8?fmt=ts2hls
CCTV4K 超高清,rtsp://115.153.212.72/PLTV/88888888/224/3221227073/106537394.smil
CCTV4K 超高清,rtsp://115.153.222.112:554/PLTV/88888888/224/3221227073/106537394.smil
CCTV4K 超高清,rtsp://115.153.230.145/PLTV/88888888/224/3221227073/106537394.smil
CCTV4K 超高清,rtsp://115.153.233.154/PLTV/88888888/224/3221227073/106537394.smil
CCTV4K 超高清,rtsp://115.153.240.228:554/PLTV/88888888/224/3221227073/106537394.smil
CCTV4K 超高清,rtsp://115.153.245.70/PLTV/88888888/224/3221227073/106537394.smil
CCTV4K 超高清,rtsp://115.153.247.80/PLTV/88888888/224/3221227073/106537394.smil
CCTV4K 超高清,rtsp://115.153.254.81/PLTV/88888888/224/3221227073/106537394.smil
欢笑剧场4K,http://115.153.212.72/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil/index.m3u8?fmt=ts2hls
欢笑剧场4K,http://115.153.222.112/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil/index.m3u8?fmt=ts2hls
欢笑剧场4K,http://115.153.230.145/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil/index.m3u8?fmt=ts2hls
欢笑剧场4K,http://115.153.233.154/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil/index.m3u8?fmt=ts2hls
欢笑剧场4K,http://115.153.240.228/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil/index.m3u8?fmt=ts2hls
欢笑剧场4K,http://115.153.245.70/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil/index.m3u8?fmt=ts2hls
欢笑剧场4K,http://115.153.247.80/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil/index.m3u8?fmt=ts2hls
欢笑剧场4K,http://115.153.254.81/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil/index.m3u8?fmt=ts2hls
欢笑剧场4K,rtsp://115.153.212.72/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil
欢笑剧场4K,rtsp://115.153.222.112:554/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil
欢笑剧场4K,rtsp://115.153.230.145/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil
欢笑剧场4K,rtsp://115.153.233.154/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil
欢笑剧场4K,rtsp://115.153.240.228:554/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil
欢笑剧场4K,rtsp://115.153.245.70/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil
欢笑剧场4K,rtsp://115.153.247.80/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil
欢笑剧场4K,rtsp://115.153.254.81/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil
爱上4K,http://115.153.212.72/PLTV/88888888/224/3221227025/86502164.smil/index.m3u8?fmt=ts2hls
爱上4K,http://115.153.222.112/PLTV/88888888/224/3221227025/86502164.smil/index.m3u8?fmt=ts2hls
爱上4K,http://115.153.230.145/PLTV/88888888/224/3221227025/86502164.smil/index.m3u8?fmt=ts2hls
