电信ip4,#genre#
CCTV1,http://itv.nctv.top:35455/gaoma/cctv1.m3u8
CCTV2,http://1.itv.nctv.top:35455/gaoma/cctv2.m3u8
CCTV2,http://itv.nctv.top:35455/gaoma/cctv2.m3u8
CCTV3,http://itv.nctv.top:35455/gaoma/cctv3.m3u8
CCTV3,http://117.144.58.42:35455/gaoma/cctv3.m3u8
CCTV4,http://qqkkk.fun:35455/gaoma/cctv4.m3u8
CCTV4,http://itv.nctv.top:35455/gaoma/cctv4.m3u8
CCTV4,http://home.wwang.pw:35455/gaoma/cctv4.m3u8
CCTV5,http://qqkkk.fun:35455/gaoma/cctv5.m3u8
CCTV5,http://itv.nctv.top:35455/gaoma/cctv5.m3u8
CCTV5+,http://itv.nctv.top:35455/gaoma/cctv5p.m3u8
CCTV5+,http://111.170.172.113:35455/gaoma/cctv5p.m3u8
CCTV6,http://itv.nctv.top:35455/gaoma/cctv6.m3u8
CCTV6,http://1.itv.nctv.top:35455/gaoma/cctv6.m3u8
CCTV6,http://qqkkk.fun:35455/gaoma/cctv6.m3u8
CCTV7,http://117.144.58.42:35455/gaoma/cctv7.m3u8
CCTV8,http://qqkkk.fun:35455/gaoma/cctv8.m3u8
CCTV8,http://117.144.58.42:35455/gaoma/cctv8.m3u8
CCTV8,http://home.wwang.pw:35455/gaoma/cctv8.m3u8
CCTV9,http://3.itv.nctv.top:35455/gaoma/cctv9.m3u8
CCTV9,http://itv.nctv.top:35455/gaoma/cctv9.m3u8
CCTV9,http://117.144.58.42:35455/gaoma/cctv9.m3u8
CCTV10,http://111.170.172.113:35455/gaoma/cctv10.m3u8
CCTV10,http://qqkkk.fun:35455/gaoma/cctv10.m3u8
CCTV10,http://home.wwang.pw:35455/gaoma/cctv10.m3u8
CCTV10,http://itv.nctv.top:35455/gaoma/cctv10.m3u8
CCTV10,http://2000.run:35455/gaoma/cctv10.m3u8
CCTV11,http://117.144.58.42:35455/gaoma/cctv11.m3u8
CCTV11,http://home.wwang.pw:35455/gaoma/cctv11.m3u8
CCTV11,http://itv.nctv.top:35455/gaoma/cctv11.m3u8
CCTV12,http://qqkkk.fun:35455/gaoma/cctv12.m3u8
CCTV12,http://117.144.58.42:35455/gaoma/cctv12.m3u8
CCTV13,http://qqkkk.fun:35455/gaoma/cctv13.m3u8
CCTV13,http://111.170.172.113:35455/gaoma/cctv13.m3u8
CCTV14,http://itv.nctv.top:35455/gaoma/cctv14.m3u8
CCTV14,http://qqkkk.fun:35455/gaoma/cctv14.m3u8
CCTV14,http://117.144.58.42:35455/gaoma/cctv14.m3u8
CCTV15,http://111.170.172.113:35455/gaoma/cctv15.m3u8
CCTV15,http://itv.nctv.top:35455/gaoma/cctv15.m3u8
CCTV15,http://qqkkk.fun:35455/gaoma/cctv15.m3u8
CCTV16,http://117.144.58.42:35455/gaoma/cctv16.m3u8
CCTV16,http://2000.run:35455/gaoma/cctv16.m3u8
CCTV16,http://qqkkk.fun:35455/gaoma/cctv16.m3u8
CCTV17,http://117.144.58.42:35455/gaoma/cctv17.m3u8
CCTV17,http://qqkkk.fun:35455/gaoma/cctv17.m3u8
