上海全网通,#genre#
CCTV-1 综合,https://shyd.695847.xyz/cms001/ch00000090990000001001/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV-1 综合,https://shyd.695847.xyz/cms001/ch00000090990000001022/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV-1 综合,https://shyd.695847.xyz/cms001/ch00000090990000001388/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV-1 综合,https://shyd.695847.xyz/cms001/ch00000090990000001520/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV-2 财经,https://shyd.695847.xyz/cms001/ch00000090990000001012/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV-2 财经,https://shyd.695847.xyz/cms001/ch00000090990000001220/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV-3 综艺,https://shyd.695847.xyz/cms001/ch00000090990000001054/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV-3 综艺,https://shyd.695847.xyz/cms001/ch00000090990000001186/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV4K 超高清,https://shyd.695847.xyz/cms001/ch00000090990000001451/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV-4 中文国际,https://shyd.695847.xyz/cms001/ch00000090990000001011/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV-4 中文国际,https://shyd.695847.xyz/cms001/ch00000090990000001221/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV-5 体育,https://shyd.695847.xyz/cms001/ch00000090990000001055/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV-5 体育,https://shyd.695847.xyz/cms001/ch00000090990000001187/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV-6 电影,https://shyd.695847.xyz/cms001/ch00000090990000001056/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
